#Wavelength (nm)  QE (%)
0.2505263158  63.95663957
0.2550375940  62.33062331
0.2586466165  60.3432701
0.2604511278  58.89792231
0.2613533835  57.633243
#0.2622556391  54.9232159
0.2622556391  56.18789521
0.2631578947  52.75519422
0.2640601504  51.49051491
0.2685714286  50.04516712
0.2793984962  50.22583559
#0.2866165414  51.67118338
0.2866165414  52.93586269
0.2920300752  54.65221319
0.3082706767  55.37488708
0.3281203008  55.64588979
